evidence_class,axis,axis_value,is_base_value,agent_scale,seed,strategy,accuracy,false_confident_consensus_rate,questions_per_claim,independent_roots_per_question,conflict_detection_rate,resolved_gap_rate,final_independent_roots,total_questions,total_new_roots,n_claims
synthetic_simulation,corrupt_root_prob,0.2,0,1000,2,uncertainty,0.7433333333333333,0.04933333333333333,1.3653333333333333,0.2236328125,0.7228826151560178,0.007835455435847209,3.542,2048,458,1500
synthetic_simulation,corrupt_root_prob,0.2,0,1000,2,lineage,0.76,0.03133333333333333,0.24733333333333332,0.921832884097035,0.7786032689450223,0.0,3.4646666666666666,371,342,1500
synthetic_simulation,corrupt_root_prob,0.2,0,1000,2,continual,0.7966666666666666,0.04,2.114,0.8372753074739829,0.7726597325408618,0.1762977473065622,5.006666666666667,3171,2655,1500
synthetic_simulation,corrupt_root_prob,0.2,0,1000,3,none,0.746,0.04933333333333333,0.0,0.0,0.7054896142433235,0.0,3.2,0,0,1500
synthetic_simulation,corrupt_root_prob,0.2,0,1000,3,random,0.7686666666666667,0.028666666666666667,3.0,0.232,0.8137982195845698,0.08333333333333333,3.896,4500,1044,1500
synthetic_simulation,corrupt_root_prob,0.2,0,1000,3,uncertainty,0.77,0.050666666666666665,1.2706666666666666,0.23294858342077648,0.7032640949554896,0.0040650406504065045,3.496,1906,444,1500
synthetic_simulation,corrupt_root_prob,0.2,0,1000,3,lineage,0.7666666666666667,0.029333333333333333,0.25466666666666665,0.9450261780104712,0.7752225519287834,0.0,3.4406666666666665,382,361,1500
synthetic_simulation,corrupt_root_prob,0.2,0,1000,3,continual,0.8146666666666667,0.042,2.11,0.837914691943128,0.7744807121661721,0.18800813008130082,4.968,3165,2652,1500
synthetic_simulation,corrupt_root_prob,0.2,0,1000,4,none,0.7393333333333333,0.04733333333333333,0.0,0.0,0.7263157894736842,0.0,3.2373333333333334,0,0,1500
synthetic_simulation,corrupt_root_prob,0.2,0,1000,4,random,0.768,0.029333333333333333,3.0,0.22511111111111112,0.8203007518796992,0.08517034068136273,3.9126666666666665,4500,1013,1500
synthetic_simulation,corrupt_root_prob,0.2,0,1000,4,uncertainty,0.7526666666666667,0.04733333333333333,1.3193333333333332,0.21930267812026275,0.7255639097744361,0.003006012024048096,3.526666666666667,1979,434,1500
synthetic_simulation,corrupt_root_prob,0.2,0,1000,4,lineage,0.7546666666666667,0.028666666666666667,0.25066666666666665,0.9122340425531915,0.7834586466165413,0.0,3.466,376,343,1500
synthetic_simulation,corrupt_root_prob,0.2,0,1000,4,continual,0.8033333333333333,0.036,2.0986666666666665,0.832274459974587,0.7796992481203008,0.1843687374749499,4.984,3148,2620,1500
synthetic_simulation,corrupt_root_prob,0.2,0,1000,5,none,0.7306666666666667,0.046,0.0,0.0,0.706794682422452,0.0,3.2373333333333334,0,0,1500
synthetic_simulation,corrupt_root_prob,0.2,0,1000,5,random,0.748,0.035333333333333335,3.0,0.22355555555555556,0.8072378138847858,0.07336683417085427,3.908,4500,1006,1500
synthetic_simulation,corrupt_root_prob,0.2,0,1000,5,uncertainty,0.7473333333333333,0.04666666666666667,1.3406666666666667,0.23570363003480854,0.705317577548006,0.006030150753768844,3.5533333333333332,2011,474,1500
