axis,axis_value,strategy,runs,is_base_value,accuracy_mean,accuracy_sd,false_confident_consensus_rate_mean,false_confident_consensus_rate_sd,independent_roots_per_question_mean,independent_roots_per_question_sd,resolved_gap_rate_mean,resolved_gap_rate_sd,questions_per_claim_mean,questions_per_claim_sd,final_independent_roots_mean,final_independent_roots_sd
corrupt_root_prob,0.14,none,8,1,0.8023333333333333,0.006502746672423445,0.028166666666666666,0.0035945284698601183,0.0,0.0,0.0,0.0,0.0,0.0,3.22425,0.020041029343396067
corrupt_root_prob,0.14,random,8,1,0.8245833333333333,0.0057064430307760365,0.016916666666666667,0.003245265171252733,0.23025,0.0047904041354884744,0.101001983810665,0.009223728346715402,3.0,0.0,3.915,0.023096759890952657
corrupt_root_prob,0.14,uncertainty,8,1,0.8241666666666667,0.0034503277967117925,0.028583333333333332,0.0035534467952938495,0.2323545159694454,0.007476019768522002,0.006299545322133908,0.0010134318951471755,1.1746666666666667,0.02734610619100138,3.49725,0.023921664485274222
corrupt_root_prob,0.14,lineage,8,1,0.8201666666666667,0.008734169352933004,0.015166666666666667,0.0022182504188289747,0.9254264425143044,0.01682330011229473,0.00013935340022296544,0.00039415093711624724,0.24633333333333332,0.009881841612310613,3.452166666666667,0.014270626953669329
corrupt_root_prob,0.14,continual,8,1,0.8709166666666667,0.004753444866119546,0.019,0.0031065726533904933,0.8427637381994493,0.008626717652312174,0.26271561102035645,0.01604643786836697,1.9383333333333332,0.02698618106094247,4.857833333333334,0.042054763994144345
corrupt_root_prob,0.2,none,8,0,0.74,0.005962847939999439,0.04566666666666667,0.002916836729735915,0.0,0.0,0.0,0.0,0.0,0.0,3.21875,0.029201951445990134
corrupt_root_prob,0.2,random,8,0,0.7633333333333333,0.008930063367414136,0.03025,0.003360602742611926,0.2265,0.0044472213547087774,0.0745669943139316,0.007418334268079788,3.0,0.0,3.89825,0.031495905503605724
corrupt_root_prob,0.2,uncertainty,8,0,0.7598333333333334,0.012692955176439848,0.04666666666666667,0.003323795879355267,0.23212057309422138,0.007984195222130376,0.005098308531615564,0.002112091113102742,1.33975,0.03242170055173955,3.52975,0.029835394980639817
corrupt_root_prob,0.2,lineage,8,0,0.7578333333333334,0.009132186233144043,0.02775,0.0027588242262078073,0.9319378301613658,0.025033565885083844,0.0,0.0,0.24475,0.017173022401799236,3.4469166666666666,0.014696668448735736
corrupt_root_prob,0.2,continual,8,0,0.8069999999999999,0.010486574939810141,0.03683333333333333,0.003767024846012593,0.8361088721917559,0.006230713261764836,0.1883823551821008,0.011319072093546708,2.115666666666667,0.022193950269643988,4.987583333333333,0.026499326136984764
corrupt_root_prob,0.3,none,8,0,0.6314166666666666,0.016249786323381487,0.07983333333333334,0.007248426211232511,0.0,0.0,0.0,0.0,0.0,0.0,3.2270000000000003,0.024944382578492973
