axis,axis_value,focus,baseline,metric,oriented_mean_delta,sem,verdict,seeds_favoring_focus,n_seeds,focus_questions_per_claim,baseline_questions_per_claim
corrupt_root_prob,0.1,continual,random,independent_roots_per_question,0.6065599205289686,0.004281888338205579,win,8,8,1.7611666666666668,3.0
corrupt_root_prob,0.1,continual,random,resolved_gap_rate,0.19463972952859349,0.005969579607531689,win,8,8,1.7611666666666668,3.0
corrupt_root_prob,0.1,continual,uncertainty,accuracy,0.04050000000000001,0.004332875433682532,win,8,8,1.7611666666666668,1.0104166666666667
corrupt_root_prob,0.1,continual,uncertainty,false_confident_consensus_rate,0.009416666666666667,0.0011914876655437338,win,8,8,1.7611666666666668,1.0104166666666667
corrupt_root_prob,0.1,continual,uncertainty,independent_roots_per_question,0.6056148973044192,0.007501179455100777,win,8,8,1.7611666666666668,1.0104166666666667
corrupt_root_prob,0.1,continual,uncertainty,resolved_gap_rate,0.29850737415495154,0.003991733880626947,win,8,8,1.7611666666666668,1.0104166666666667
corrupt_root_prob,0.1,continual,lineage,accuracy,0.042333333333333334,0.0032805342189809214,win,8,8,1.7611666666666668,0.24275
corrupt_root_prob,0.1,continual,lineage,false_confident_consensus_rate,-0.0025,0.0007740842003337551,loss,0,8,1.7611666666666668,0.24275
corrupt_root_prob,0.1,continual,lineage,independent_roots_per_question,-0.09262598554457219,0.007120196026727012,loss,0,8,1.7611666666666668,0.24275
corrupt_root_prob,0.1,continual,lineage,resolved_gap_rate,0.3074934944342454,0.00420089893769912,win,8,8,1.7611666666666668,0.24275
corrupt_root_prob,0.14,lineage,none,accuracy,0.017833333333333326,0.0021812694716463916,win,8,8,0.24633333333333332,0.0
corrupt_root_prob,0.14,lineage,none,false_confident_consensus_rate,0.013,0.0012215005084172056,win,8,8,0.24633333333333332,0.0
corrupt_root_prob,0.14,lineage,none,independent_roots_per_question,0.9254264425143044,0.005947934795670004,win,8,8,0.24633333333333332,0.0
corrupt_root_prob,0.14,lineage,none,resolved_gap_rate,0.00013935340022296544,0.00013935340022296544,tie,1,8,0.24633333333333332,0.0
corrupt_root_prob,0.14,lineage,random,accuracy,-0.004416666666666666,0.003598803813614869,tie,3,8,0.24633333333333332,3.0
corrupt_root_prob,0.14,lineage,random,false_confident_consensus_rate,0.00175,0.0009995038451691602,tie,5,8,0.24633333333333332,3.0
corrupt_root_prob,0.14,lineage,random,independent_roots_per_question,0.6951764425143043,0.006516384726092745,win,8,8,0.24633333333333332,3.0
corrupt_root_prob,0.14,lineage,random,resolved_gap_rate,-0.10086263041044204,0.0032476886635218988,loss,0,8,0.24633333333333332,3.0
corrupt_root_prob,0.14,lineage,uncertainty,accuracy,-0.00399999999999999,0.002621643734952522,tie,3,8,0.24633333333333332,1.1746666666666667
corrupt_root_prob,0.14,lineage,uncertainty,false_confident_consensus_rate,0.013416666666666667,0.0012436345862539301,win,8,8,0.24633333333333332,1.1746666666666667
corrupt_root_prob,0.14,lineage,uncertainty,independent_roots_per_question,0.6930719265448589,0.00648111658369428,win,8,8,0.24633333333333332,1.1746666666666667
corrupt_root_prob,0.14,lineage,uncertainty,resolved_gap_rate,-0.006160191921910943,0.00036372396473454034,loss,0,8,0.24633333333333332,1.1746666666666667
corrupt_root_prob,0.14,lineage,continual,accuracy,-0.05074999999999999,0.0032131611789489732,loss,0,8,0.24633333333333332,1.9383333333333332
corrupt_root_prob,0.14,lineage,continual,false_confident_consensus_rate,0.0038333333333333336,0.0008042545597168827,win,7,8,0.24633333333333332,1.9383333333333332
corrupt_root_prob,0.14,lineage,continual,independent_roots_per_question,0.08266270431485515,0.008217051869576946,win,8,8,0.24633333333333332,1.9383333333333332
corrupt_root_prob,0.14,lineage,continual,resolved_gap_rate,-0.2625762576201335,0.005669724843076105,loss,0,8,0.24633333333333332,1.9383333333333332
corrupt_root_prob,0.14,continual,none,accuracy,0.06858333333333332,0.0022971255329837154,win,8,8,1.9383333333333332,0.0
corrupt_root_prob,0.14,continual,none,false_confident_consensus_rate,0.009166666666666665,0.0013958555435333194,win,8,8,1.9383333333333332,0.0
corrupt_root_prob,0.14,continual,none,independent_roots_per_question,0.8427637381994493,0.0030500052756658154,win,8,8,1.9383333333333332,0.0
corrupt_root_prob,0.14,continual,none,resolved_gap_rate,0.26271561102035645,0.005673272515305446,win,8,8,1.9383333333333332,0.0
corrupt_root_prob,0.14,continual,random,accuracy,0.046333333333333324,0.0024527276685097064,win,8,8,1.9383333333333332,3.0
corrupt_root_prob,0.14,continual,random,false_confident_consensus_rate,-0.0020833333333333337,0.0010269194184859352,loss,1,8,1.9383333333333332,3.0
corrupt_root_prob,0.14,continual,random,independent_roots_per_question,0.6125137381994492,0.0029207576382406495,win,8,8,1.9383333333333332,3.0
corrupt_root_prob,0.14,continual,random,resolved_gap_rate,0.16171362720969146,0.006726967334564201,win,8,8,1.9383333333333332,3.0
corrupt_root_prob,0.14,continual,uncertainty,accuracy,0.04675,0.0022305152796379697,win,8,8,1.9383333333333332,1.1746666666666667
corrupt_root_prob,0.14,continual,uncertainty,false_confident_consensus_rate,0.009583333333333333,0.0013389020614513706,win,8,8,1.9383333333333332,1.1746666666666667
corrupt_root_prob,0.14,continual,uncertainty,independent_roots_per_question,0.6104092222300038,0.003044416381855981,win,8,8,1.9383333333333332,1.1746666666666667
corrupt_root_prob,0.14,continual,uncertainty,resolved_gap_rate,0.25641606569822256,0.005631808107422537,win,8,8,1.9383333333333332,1.1746666666666667
corrupt_root_prob,0.14,continual,lineage,accuracy,0.05074999999999999,0.0032131611789489732,win,8,8,1.9383333333333332,0.24633333333333332
corrupt_root_prob,0.14,continual,lineage,false_confident_consensus_rate,-0.0038333333333333336,0.0008042545597168827,loss,0,8,1.9383333333333332,0.24633333333333332
corrupt_root_prob,0.14,continual,lineage,independent_roots_per_question,-0.08266270431485515,0.008217051869576946,loss,0,8,1.9383333333333332,0.24633333333333332
corrupt_root_prob,0.14,continual,lineage,resolved_gap_rate,0.2625762576201335,0.005669724843076105,win,8,8,1.9383333333333332,0.24633333333333332
corrupt_root_prob,0.2,lineage,none,accuracy,0.01783333333333338,0.0017895197546774866,win,8,8,0.24475,0.0
corrupt_root_prob,0.2,lineage,none,false_confident_consensus_rate,0.017916666666666668,0.0008011648265900587,win,8,8,0.24475,0.0
corrupt_root_prob,0.2,lineage,none,independent_roots_per_question,0.9319378301613658,0.008850702097311501,win,8,8,0.24475,0.0
corrupt_root_prob,0.2,lineage,none,resolved_gap_rate,0.0,0.0,tie,0,8,0.24475,0.0
corrupt_root_prob,0.2,lineage,random,accuracy,-0.005499999999999977,0.0017806276760274466,loss,1,8,0.24475,3.0
corrupt_root_prob,0.2,lineage,random,false_confident_consensus_rate,0.0025000000000000005,0.0011529809536003095,win,6,8,0.24475,3.0
corrupt_root_prob,0.2,lineage,random,independent_roots_per_question,0.7054378301613657,0.008835241593943012,win,8,8,0.24475,3.0
corrupt_root_prob,0.2,lineage,random,resolved_gap_rate,-0.0745669943139316,0.0026227772330338806,loss,0,8,0.24475,3.0
corrupt_root_prob,0.2,lineage,uncertainty,accuracy,-0.00199999999999996,0.0032464877236303407,tie,3,8,0.24475,1.33975
corrupt_root_prob,0.2,lineage,uncertainty,false_confident_consensus_rate,0.018916666666666665,0.0007657085109945715,win,8,8,0.24475,1.33975
corrupt_root_prob,0.2,lineage,uncertainty,independent_roots_per_question,0.6998172570671444,0.007789195539638152,win,8,8,0.24475,1.33975
corrupt_root_prob,0.2,lineage,uncertainty,resolved_gap_rate,-0.005098308531615564,0.000746736974279396,loss,0,8,0.24475,1.33975
corrupt_root_prob,0.2,lineage,continual,accuracy,-0.049166666666666636,0.0035180938200940768,loss,0,8,0.24475,2.115666666666667
corrupt_root_prob,0.2,lineage,continual,false_confident_consensus_rate,0.009083333333333332,0.0009079673793175402,win,8,8,0.24475,2.115666666666667
corrupt_root_prob,0.2,lineage,continual,independent_roots_per_question,0.09582895796960988,0.008574507411709427,win,8,8,0.24475,2.115666666666667
corrupt_root_prob,0.2,lineage,continual,resolved_gap_rate,-0.1883823551821008,0.004001896317043144,loss,0,8,0.24475,2.115666666666667
corrupt_root_prob,0.2,continual,none,accuracy,0.06700000000000002,0.002597312408246601,win,8,8,2.115666666666667,0.0
corrupt_root_prob,0.2,continual,none,false_confident_consensus_rate,0.008833333333333334,0.0008886408384057873,win,8,8,2.115666666666667,0.0
corrupt_root_prob,0.2,continual,none,independent_roots_per_question,0.8361088721917559,0.0022028897995114336,win,8,8,2.115666666666667,0.0
corrupt_root_prob,0.2,continual,none,resolved_gap_rate,0.1883823551821008,0.004001896317043144,win,8,8,2.115666666666667,0.0
corrupt_root_prob,0.2,continual,random,accuracy,0.04366666666666666,0.0037139804514362777,win,8,8,2.115666666666667,3.0
corrupt_root_prob,0.2,continual,random,false_confident_consensus_rate,-0.006583333333333332,0.001805799739288025,loss,1,8,2.115666666666667,3.0
corrupt_root_prob,0.2,continual,random,independent_roots_per_question,0.6096088721917559,0.0024664043796445785,win,8,8,2.115666666666667,3.0
corrupt_root_prob,0.2,continual,random,resolved_gap_rate,0.1138153608681692,0.005239098052732101,win,8,8,2.115666666666667,3.0
corrupt_root_prob,0.2,continual,uncertainty,accuracy,0.047166666666666676,0.002905249763871636,win,8,8,2.115666666666667,1.33975
corrupt_root_prob,0.2,continual,uncertainty,false_confident_consensus_rate,0.009833333333333333,0.0007319250547114005,win,8,8,2.115666666666667,1.33975
corrupt_root_prob,0.2,continual,uncertainty,independent_roots_per_question,0.6039882990975345,0.0029982553267670327,win,8,8,2.115666666666667,1.33975
corrupt_root_prob,0.2,continual,uncertainty,resolved_gap_rate,0.18328404665048523,0.004439736609467313,win,8,8,2.115666666666667,1.33975
corrupt_root_prob,0.2,continual,lineage,accuracy,0.049166666666666636,0.0035180938200940768,win,8,8,2.115666666666667,0.24475
corrupt_root_prob,0.2,continual,lineage,false_confident_consensus_rate,-0.009083333333333332,0.0009079673793175402,loss,0,8,2.115666666666667,0.24475
corrupt_root_prob,0.2,continual,lineage,independent_roots_per_question,-0.09582895796960988,0.008574507411709427,loss,0,8,2.115666666666667,0.24475
corrupt_root_prob,0.2,continual,lineage,resolved_gap_rate,0.1883823551821008,0.004001896317043144,win,8,8,2.115666666666667,0.24475
corrupt_root_prob,0.3,lineage,none,accuracy,0.009166666666666656,0.001239239398064104,win,8,8,0.24725,0.0
corrupt_root_prob,0.3,lineage,none,false_confident_consensus_rate,0.024833333333333336,0.001646304182196431,win,8,8,0.24725,0.0
corrupt_root_prob,0.3,lineage,none,independent_roots_per_question,0.9156951891406451,0.008456635044597293,win,8,8,0.24725,0.0
corrupt_root_prob,0.3,lineage,none,resolved_gap_rate,0.0,0.0,tie,0,8,0.24725,0.0
corrupt_root_prob,0.3,lineage,random,accuracy,-0.0060833333333333295,0.001933158859122329,loss,1,8,0.24725,3.0
corrupt_root_prob,0.3,lineage,random,false_confident_consensus_rate,0.00375,0.0010833333333333326,win,7,8,0.24725,3.0
corrupt_root_prob,0.3,lineage,random,independent_roots_per_question,0.6919451891406451,0.008850480156842857,win,8,8,0.24725,3.0
corrupt_root_prob,0.3,lineage,random,resolved_gap_rate,-0.04611037399066062,0.002320275155058706,loss,0,8,0.24725,3.0
corrupt_root_prob,0.3,lineage,uncertainty,accuracy,-0.005666666666666653,0.0017274625854492495,loss,0,8,0.24725,1.5088333333333332
corrupt_root_prob,0.3,lineage,uncertainty,false_confident_consensus_rate,0.02625,0.00152199482718183,win,8,8,0.24725,1.5088333333333332
corrupt_root_prob,0.3,lineage,uncertainty,independent_roots_per_question,0.6858285929488135,0.008632430265877448,win,8,8,0.24725,1.5088333333333332
corrupt_root_prob,0.3,lineage,uncertainty,resolved_gap_rate,-0.004804102209510955,0.0005784057230079476,loss,0,8,0.24725,1.5088333333333332
corrupt_root_prob,0.3,lineage,continual,accuracy,-0.037166666666666695,0.0030230595245361804,loss,0,8,0.24725,2.3235833333333336
