experiment_name,evidence_class,agent_scale,seed,strategy,runtime_sec,accuracy,false_confident_consensus_rate,questions_per_claim,independent_roots_per_question,conflict_detection_rate,resolved_gap_rate,final_independent_roots,total_questions,total_new_roots,n_claims
continual_discovery_synthetic,synthetic_simulation,1000,3,lineage,0.09255296899999621,0.83,0.0145,0.2535,0.9191321499013807,0.7517688679245284,0.0,3.4535,507,466,2000
continual_discovery_synthetic,synthetic_simulation,1000,3,continual,0.1946890279999991,0.871,0.018,1.916,0.843945720250522,0.7476415094339622,0.251063829787234,4.8375,3832,3234,2000
continual_discovery_synthetic,synthetic_simulation,1000,4,none,0.07630059300001335,0.7925,0.0245,0.0,0.0,0.7137767220902613,0.0,3.243,0,0,2000
continual_discovery_synthetic,synthetic_simulation,1000,4,random,0.1920952199999988,0.819,0.0175,3.0,0.22866666666666666,0.7992874109263658,0.10442773600668337,3.929,6000,1372,2000
continual_discovery_synthetic,synthetic_simulation,1000,4,uncertainty,0.12479251999999974,0.816,0.0245,1.176,0.23809523809523808,0.7125890736342043,0.003341687552213868,3.523,2352,560,2000
continual_discovery_synthetic,synthetic_simulation,1000,4,lineage,0.0928333600000002,0.808,0.0145,0.2325,0.9311827956989247,0.7606888361045131,0.0,3.4595,465,433,2000
continual_discovery_synthetic,synthetic_simulation,1000,4,continual,0.193534077999999,0.8595,0.02,1.9545,0.8332054233819391,0.7642517814726841,0.24561403508771928,4.8715,3909,3257,2000
continual_discovery_synthetic,synthetic_simulation,1000,5,none,0.07514829699999837,0.809,0.0255,0.0,0.0,0.6882106523040096,0.0,3.211,0,0,2000
continual_discovery_synthetic,synthetic_simulation,1000,5,random,0.19282310200000552,0.823,0.0145,3.0,0.23233333333333334,0.77737881508079,0.09527896995708154,3.908,6000,1394,2000
continual_discovery_synthetic,synthetic_simulation,1000,5,uncertainty,0.12468057700000656,0.8295,0.0255,1.152,0.23697916666666666,0.687013764213046,0.0068669527896995704,3.484,2304,546,2000
continual_discovery_synthetic,synthetic_simulation,1000,5,lineage,0.09341072099999792,0.832,0.015,0.2395,0.9102296450939458,0.7420706163973668,0.0,3.429,479,436,2000
continual_discovery_synthetic,synthetic_simulation,1000,5,continual,0.18951305900000648,0.8665,0.015,1.888,0.845603813559322,0.7378815080789947,0.28669527896995706,4.8075,3776,3193,2000
continual_discovery_synthetic,synthetic_simulation,1000,6,none,0.07569046199999718,0.8055,0.03,0.0,0.0,0.7077012835472579,0.0,3.252,0,0,2000
continual_discovery_synthetic,synthetic_simulation,1000,6,random,0.19384994799999333,0.821,0.0215,3.0,0.23783333333333334,0.8039673278879813,0.10857142857142857,3.9655,6000,1427,2000
continual_discovery_synthetic,synthetic_simulation,1000,6,uncertainty,0.12615895199999727,0.8255,0.031,1.1805,0.23591698432867428,0.7042007001166861,0.006530612244897959,3.5305,2361,557,2000
continual_discovery_synthetic,synthetic_simulation,1000,6,lineage,0.09187576300000444,0.8145,0.0165,0.2435,0.9117043121149897,0.7561260210035006,0.0008163265306122449,3.474,487,444,2000
continual_discovery_synthetic,synthetic_simulation,1000,6,continual,0.19366666999999893,0.8675,0.022,1.987,0.8588324106693508,0.7683780630105017,0.27346938775510204,4.9585,3974,3413,2000
continual_discovery_synthetic,synthetic_simulation,1000,7,none,0.07497862099999963,0.795,0.0345,0.0,0.0,0.6958823529411765,0.0,3.219,0,0,2000
continual_discovery_synthetic,synthetic_simulation,1000,7,random,0.19209832699999652,0.8285,0.0205,3.0,0.22683333333333333,0.7970588235294118,0.09900990099009901,3.8995,6000,1361,2000
continual_discovery_synthetic,synthetic_simulation,1000,7,uncertainty,0.12402706900000737,0.822,0.035,1.184,0.23564189189189189,0.6923529411764706,0.00825082508250825,3.498,2368,558,2000
continual_discovery_synthetic,synthetic_simulation,1000,7,lineage,0.0933561930000053,0.805,0.0175,0.2565,0.9161793372319688,0.7570588235294118,0.0,3.454,513,470,2000
continual_discovery_synthetic,synthetic_simulation,1000,7,continual,0.1984298599999903,0.87,0.021,1.9625,0.8295541401273885,0.7535294117647059,0.25,4.847,3925,3256,2000
continual_discovery_synthetic,synthetic_simulation,1000,8,none,0.07502497999999491,0.8185,0.024,0.0,0.0,0.6861826697892272,0.0,3.222,0,0,2000
continual_discovery_synthetic,synthetic_simulation,1000,8,random,0.1912837389999993,0.843,0.014,3.0,0.2255,0.7839578454332553,0.10068259385665529,3.8985,6000,1353,2000
continual_discovery_synthetic,synthetic_simulation,1000,8,uncertainty,0.12219242199999769,0.825,0.024,1.134,0.22883597883597884,0.6850117096018735,0.005119453924914676,3.4815,2268,519,2000
continual_discovery_synthetic,synthetic_simulation,1000,8,lineage,0.09146424700000466,0.83,0.0135,0.2485,0.9175050301810865,0.747072599531616,0.0,3.45,497,456,2000
continual_discovery_synthetic,synthetic_simulation,1000,8,continual,0.1916391279999914,0.88,0.016,1.948,0.8154517453798767,0.7418032786885246,0.24146757679180889,4.8105,3896,3177,2000
continual_discovery_synthetic,synthetic_simulation,1000,9,none,0.07552706999999259,0.819,0.0245,0.0,0.0,0.6867612293144209,0.0,3.2355,0,0,2000
continual_discovery_synthetic,synthetic_simulation,1000,9,random,0.19170963999999913,0.8485,0.0135,3.0,0.22533333333333333,0.7777777777777778,0.10585197934595525,3.9115,6000,1352,2000
continual_discovery_synthetic,synthetic_simulation,1000,9,uncertainty,0.12337806299998988,0.8435,0.0255,1.1255,0.22256774766770324,0.6832151300236406,0.012908777969018933,3.486,2251,501,2000
continual_discovery_synthetic,synthetic_simulation,1000,9,lineage,0.09436719899998991,0.834,0.011,0.254,0.9389763779527559,0.7381796690307328,0.0,3.474,508,477,2000
continual_discovery_synthetic,synthetic_simulation,1000,9,continual,0.1909741960000133,0.8795,0.0155,1.918,0.8433263816475496,0.7387706855791962,0.25645438898450945,4.853,3836,3235,2000
continual_discovery_synthetic,synthetic_simulation,10000,0,none,0.07620135199999822,0.7985,0.031,0.0,0.0,0.6941315945465323,0.0,3.2655,0,0,2000
continual_discovery_synthetic,synthetic_simulation,10000,0,random,0.19284360799998979,0.831,0.0165,3.0,0.21733333333333332,0.7871962062833432,0.09592529711375213,3.9175,6000,1304,2000
continual_discovery_synthetic,synthetic_simulation,10000,0,uncertainty,0.12127221800000143,0.82,0.031,1.1045,0.23675871435038479,0.6929460580912863,0.008488964346349746,3.527,2209,523,2000
continual_discovery_synthetic,synthetic_simulation,10000,0,lineage,0.09316752200000167,0.819,0.0195,0.2265,0.9050772626931567,0.7480735032602253,0.0,3.4705,453,410,2000
continual_discovery_synthetic,synthetic_simulation,10000,0,continual,0.19160567600000888,0.874,0.0235,1.9135,0.8500130650640189,0.7492590397154713,0.25891341256366723,4.892,3827,3253,2000
continual_discovery_synthetic,synthetic_simulation,10000,1,none,0.08351496100000588,0.813,0.031,0.0,0.0,0.6959098992294013,0.0,3.246,0,0,2000
continual_discovery_synthetic,synthetic_simulation,10000,1,random,0.19435282599999937,0.8395,0.015,3.0,0.2195,0.7919383521043272,0.09600679694137638,3.9045,6000,1317,2000
continual_discovery_synthetic,synthetic_simulation,10000,1,uncertainty,0.1244608129999989,0.8345,0.031,1.153,0.23633998265394623,0.6947243627741553,0.00594732370433305,3.5185,2306,545,2000
continual_discovery_synthetic,synthetic_simulation,10000,1,lineage,0.09015632999999923,0.833,0.0145,0.225,0.9466666666666667,0.7545939537640782,0.0,3.459,450,426,2000
continual_discovery_synthetic,synthetic_simulation,10000,1,continual,0.19310656300000062,0.874,0.019,1.914,0.8432601880877743,0.7522228808535862,0.2531860662701784,4.86,3828,3228,2000
continual_discovery_synthetic,synthetic_simulation,10000,2,none,0.07617215300000169,0.811,0.025,0.0,0.0,0.6860189573459715,0.0,3.2235,0,0,2000
