n_agents,regime,severity,corruption_type,corruption_level,partition_parts,phase,metric,system,baseline,mean_system,mean_baseline,mean_diff,ci_low,ci_high,cohens_dz,p_paired_t,n_pairs
100,correlated_org,0.5,none,0.0,0,post_failure,iss,B6,B4,0.7035092234611511,0.8433293183644612,-0.13982009490331013,-0.16165999953945479,-0.11665282929937046,-2.175155802684058,1.079242136472408e-12,30
100,correlated_org,0.5,none,0.0,0,post_failure,iss,B7,B2,0.7051023821036021,0.9999902784824372,-0.29488789637883506,-0.2992788833876451,-0.2904696856439114,-23.847162438887796,9.942507150328466e-42,30
100,correlated_org,0.5,none,0.0,0,post_failure,accuracy_macro,B7,B3Q,0.7899331504283882,0.8083431121608505,-0.01840996173246212,-0.025614405307810086,-0.011110616527407326,-0.8986258504949729,3.1509282132577527e-05,30
100,correlated_org,0.7,none,0.0,0,post_failure,knowledge_survival,B6,B2,0.6993666666666668,0.8738833333333331,-0.17451666666666668,-0.18336666666666668,-0.1662666666666667,-7.187522767680839,9.99382414701759e-27,30
100,correlated_org,0.7,none,0.0,0,post_failure,accuracy_macro,B6,B2,0.4701154763447738,0.602136342466199,-0.13202086612142538,-0.1413902163873458,-0.12331022628593674,-5.193770713129341,9.771012541538783e-23,30
100,correlated_org,0.7,none,0.0,0,post_failure,iss,B6,B2,0.5176101446151733,0.9982834696769715,-0.4806733250617981,-0.4869120241204898,-0.4745019378513098,-26.914829208809824,2.9896937385140633e-43,30
100,correlated_org,0.7,none,0.0,0,post_failure,knowledge_survival,B6,B4,0.6993666666666668,0.7617166666666668,-0.06235000000000001,-0.08395000000000001,-0.03953291666666668,-0.9940531838807906,7.37605768107563e-06,30
100,correlated_org,0.7,none,0.0,0,post_failure,iss,B6,B4,0.5176101446151733,0.7073609153429667,-0.18975077072779337,-0.22461464022596675,-0.15311050206422808,-1.8865342003000378,3.1228009408656173e-11,30
100,correlated_org,0.7,none,0.0,0,post_failure,knowledge_survival,B7,B2,0.7491500000000001,0.8738833333333331,-0.12473333333333333,-0.13333375000000003,-0.11671625000000001,-5.271129298791316,6.454757491758838e-23,30
100,correlated_org,0.7,none,0.0,0,post_failure,iss,B7,B2,0.5200313299894332,0.9982834696769715,-0.47825213968753816,-0.4839717007428408,-0.4727146519968907,-29.323080747978945,2.497957042919257e-44,30
100,correlated_org,0.9,none,0.0,0,post_failure,knowledge_survival,B6,B2,0.3039833333333333,0.8410333333333332,-0.5370500000000001,-0.5433833333333333,-0.5303995833333334,-29.160136897112913,2.935549216550575e-44,30
100,correlated_org,0.9,none,0.0,0,post_failure,accuracy_macro,B6,B2,0.179625705968017,0.5730244747114323,-0.3933987687434153,-0.39737635652633696,-0.3894843205005927,-35.11527964202077,1.3469369594474726e-46,30
