condition,system,KS,KS_ci_low,KS_ci_high,accuracy,accuracy_ci_low,accuracy_ci_high,ISS,contradiction_F1,contradiction_resolved,acc_partition_updated,conflict_visible_rate,acc_given_answered,ECE_recal,storage_per_claim,messages_per_claim,RE,CE,n_seeds
20% coordinated node corruption,B2,0.8479116666666666,0.8464119169496701,0.8494114163836631,0.5776025579953525,0.5757416525854286,0.5794634634052764,1.0,0.7220297290204853,0.8344796530497098,nan,nan,0.8479116666666666,0.007198618888632871,193.74856,205.16910166666668,0.004376740243127887,0.004133071882245658,30
20% coordinated node corruption,B3,0.7508466666666667,0.7489363467407866,0.7527569865925468,0.4984456729059174,0.49635710162366853,0.5005342441881663,0.7056510925292969,0.5402635707050993,0.7387016249159861,nan,nan,0.757109080938371,0.009456125142167733,4.0,8.0,0.18771166666666667,0.09385583333333333,30
20% coordinated node corruption,B4,0.8209666666666666,0.8190995179559313,0.822833815377402,0.5392089513876648,0.5372223057586164,0.5411955970167132,0.993872739871343,0.7643959313631378,0.8248538099025077,nan,nan,0.8226983539221336,0.009278603620320375,48.43714,96.84092333333334,0.01695055191994683,0.008478074381091279,30
20% coordinated node corruption,B5,0.7522550000000001,0.7503563852444043,0.754153614755596,0.4922065138393135,0.49008710707169545,0.4943259206069316,0.5610427558422089,0.5037012417158152,0.7408026918002554,nan,nan,0.7583700042198738,0.008681545108154035,4.0,8.0,0.18806375000000003,0.09403187500000001,30
20% coordinated node corruption,B6,0.7500849999999999,0.7479009062068547,0.7522690937931451,0.5068285310781202,0.5041671527562687,0.5094899093999717,0.8097862879435221,0.5572699403141673,0.7376512286430877,nan,nan,0.7562985677999239,0.009515781507945452,4.0,8.0,0.18752124999999997,0.09376062499999999,30
20% coordinated node corruption,B7,0.73334,0.7308112342590019,0.7358687657409981,0.5892061011778457,0.585713006138529,0.5926991962171624,0.8099875072638194,0.5756721419917488,0.7064537081827723,nan,nan,0.7393302376614849,0.009444492614998629,4.0,14.516543333333335,0.183335,0.050517549293103856,30
20% coordinated node corruption,B3Q,0.7221,0.7195120558917696,0.7246879441082303,0.6002196681138883,0.597160045212446,0.6032792910153305,0.7144336799780527,0.5550628738119551,0.6885433784212448,nan,nan,0.7279310702240933,0.010894239263120501,4.0,15.680746666666666,0.180525,0.046050060265985494,30
"4-way partition, after reconnect",B0,0.39164999999999994,0.3901454626089571,0.3931545373910428,0.19085468752849388,0.18979488779658366,0.1919144872604041,0.2831044137477875,0.00022408532788178735,0.24031547571096776,0.2838593703423658,2.2097876259182878e-05,0.782636596743407,0.00793120434833654,0.0,0.0,nan,nan,30
"4-way partition, after reconnect",B1,0.671885,0.6602763466231083,0.6834936533768916,0.36309210480748905,0.3543151933298759,0.3718690162851022,1.0,0.4210344226151605,0.29724606031971545,0.19617349918601792,0.021449918015279203,0.671885,0.006470792924592925,36.327855,41.28636166666668,0.01849545715870131,0.01627402084419013,30
"4-way partition, after reconnect",B2,0.6591283333333333,0.651268389258916,0.6669882774077507,0.35720082194330266,0.3515405447159928,0.36286109917061254,1.0,0.796945115850176,0.2586199036203903,0.15336396432516164,0.8035302090869822,0.6591283333333333,0.007837364627849324,193.74856,201.74856,0.003402410401655356,0.003267464704554882,30
"4-way partition, after reconnect",B3,0.6766466666666668,0.6708636357166357,0.682429697616698,0.3751726452397074,0.3710076953398874,0.37933759513952736,0.7732202092806498,0.7009355070560256,0.30520640632047513,0.21135222163729506,0.6263167304387393,0.6766466666666668,0.008496580212363871,4.0,8.0,0.1691616666666667,0.08458083333333336,30
"4-way partition, after reconnect",B4,0.7590983333333335,0.7554705456722404,0.7627261209944267,0.4314020786978638,0.4283275142523588,0.43447664314336876,1.0,0.8495577197153878,0.42249571594038854,0.4854297564145439,0.7609934573763578,0.7590983333333335,0.0084131213377448,48.43714,94.46701,0.015673593266466092,0.008036382660795137,30
"4-way partition, after reconnect",B5,0.67637,0.6706306564069108,0.6821093435930893,0.3684137631754162,0.3639179483887646,0.37290957796206775,0.5656373202800751,0.5608065533276037,0.30425904691805966,0.21437028941155295,0.617838567727185,0.67637,0.00639818326471434,4.0,8.0,0.1690925,0.08454625,30
"4-way partition, after reconnect",B6,0.6744633333333332,0.6685347945423354,0.6803918721243309,0.3817508200597516,0.37691914343943106,0.3865824966800721,0.9296731789906819,0.7614805220562221,0.29939921360585847,0.20298605912617837,0.6310857486843038,0.6744633333333332,0.011763302983906225,4.0,8.0,0.1686158333333333,0.08430791666666665,30
"4-way partition, after reconnect",B7,0.8285950000000001,0.8252217948948946,0.8319682051051056,0.6954600528757262,0.6920612336717095,0.698858872079743,0.9296731789906819,0.6219975276928504,0.5480924721827667,0.5537086291992576,0.36776128523380536,0.8285950000000001,0.0074645436311782335,4.0,15.393216666666667,0.20714875000000002,0.05382849890927149,30
"4-way partition, after reconnect",B3Q,0.88188,0.8796124058175235,0.8841475941824765,0.7917876567275535,0.7894673733378417,0.7941079401172653,0.7856249868869781,0.4630840885793654,0.6664350726635678,0.6876997972669645,0.261830272402109,0.88188,0.005042437985012382,4.0,16.88074666666667,0.22047,0.0522417757365771,30
