| metric | base | variant | Δ | 95% CI | better on | sign p | verdict |
|---|---:|---:|---:|---|---:|---:|---|
| FDR | 0.9638 | 0.9609 | -0.0029 | [-0.0052, -0.0001] | 3/3 | 0.250 | **better** |
| decoy acc. | 0.4667 | 0.3667 | -0.1000 | [-0.1750, -0.0500] | 3/3 | 0.250 | **better** |
| indep. acc. | 0.7651 | 0.7814 | +0.0163 | [+0.0036, +0.0273] | 3/3 | 0.250 | **better** |
| lineage | 0.5320 | 0.5452 | +0.0132 | [-0.0073, +0.0456] | 2/3 | 1.000 | inside noise |
| contra F1 | 0.0513 | 0.2967 | +0.2454 | [-0.0110, +0.4615] | 2/3 | 1.000 | inside noise |
| compute | 1.39e+06 | 7.28e+05 | -6.67e+05 | [-7.34e+05, -6.32e+05] | 3/3 | 0.250 | **better** |
| calls | 2.67e+04 | 2.64e+04 | -3.47e+02 | [-4.46e+02, -2.54e+02] | 3/3 | 0.250 | **better** |
| raw text out | 0.0000 | 0.0000 | +0.0000 | [+0.0000, +0.0000] | 0/0 | 1.000 | same |
| claims out | 0.1393 | 0.1393 | +0.0000 | [+0.0000, +0.0000] | 0/0 | 1.000 | same |

**span2_hybrid vs base** — 3 paired seeds

| metric | base | variant | Δ | 95% CI | better on | sign p | verdict |
|---|---:|---:|---:|---|---:|---:|---|
| found | 0.5417 | 0.6000 | +0.0583 | [-0.0250, +0.1250] | 2/3 | 1.000 | inside noise |
| AP | 0.2112 | 0.2211 | +0.0099 | [-0.0291, +0.0509] | 2/3 | 1.000 | inside noise |
| R@100 | 0.4000 | 0.3667 | -0.0333 | [-0.0750, +0.0500] | 1/3 | 1.000 | inside noise |
| rare recall | 0.1872 | 0.2851 | +0.0979 | [+0.0000, +0.2222] | 2/2 | 0.500 | inside noise |
| evidence cov. | 0.9250 | 0.7583 | -0.1667 | [-0.2250, -0.1250] | 0/3 | 0.250 | **worse** |
| FDR | 0.9638 | 0.9600 | -0.0039 | [-0.0083, +0.0017] | 2/3 | 1.000 | inside noise |
| decoy acc. | 0.4667 | 0.4250 | -0.0417 | [-0.0750, +0.0000] | 2/2 | 0.500 | inside noise |
| indep. acc. | 0.7651 | 0.7970 | +0.0319 | [+0.0243, +0.0388] | 3/3 | 0.250 | **better** |
| lineage | 0.5320 | 0.5266 | -0.0054 | [-0.0273, +0.0294] | 1/3 | 1.000 | inside noise |
| contra F1 | 0.0513 | 0.1143 | +0.0630 | [-0.0110, +0.2000] | 1/2 | 1.000 | inside noise |
| compute | 1.39e+06 | 7.31e+05 | -6.64e+05 | [-7.33e+05, -6.27e+05] | 3/3 | 0.250 | **better** |
| calls | 2.67e+04 | 2.63e+04 | -4.13e+02 | [-5.32e+02, -2.97e+02] | 3/3 | 0.250 | **better** |
| raw text out | 0.0000 | 0.0000 | +0.0000 | [+0.0000, +0.0000] | 0/0 | 1.000 | same |
| claims out | 0.1393 | 0.1393 | +0.0000 | [+0.0000, +0.0000] | 0/0 | 1.000 | same |
CALSCREEN_DONE
